id,text,sarcastic,rephrase,dialect,Texte_traduit
2740,هل هذه هي الديمقراطية؟ هل وزعت أيضا أموال على طلاب جامعة النيل والقيادات النقابية لزعزعة الاستقرار؟ هل بالأمن والقمع سنتعامل مع الاحتجاجات؟,0,,nile,هل هذه الديمقراطية؟ هل قمت أيضًا بتوزيع الأموال على طلاب جامعة النيل وقادة النقابات لزعزعة الاستقرار؟ هل الأمن والقمع سوف نتعامل مع الاحتجاجات؟
2741, عيوننا اليك ترحل كل يوم.. و انني اصليحين هوت مدينة  القدس تراجع الحب و في قلوب الدنيا استوطنت الحربيا  قدس يا مدينة الصلاة..   ساعة فيروز ,0,,levant,عيوننا لك تغادر كل يوم .. وأنني أبرر ، سقطت مدينة القدس في الحب ، وفي قلوب العالم ، استقرت على الحرب
2742,1 كما سجلت أكثر من مرة قبل٣٠ يونيو وبعده، مصر وقعت فريسة لفاشية دينية محرضة على العنف ولفاشية قمع وإقصاء وعنف زيفا باسم المصلحة الوطنية,0,,msa,1 سجلت أيضًا أكثر من مرة قبل 30 يونيو وبعدها ، سقطت مصر فريسة لفاشية دينية تحرض على العنف والفاشية القمع والإقصاء والعنف الخاطئ باسم المصلحة الوطنية
2743,من أجمل ماشاهدت في حياتي أكبر نجوم هوليود وهما عالمسرح بيتجمعوا لقراية كتاب هوارد زن عن التاريخ الشعبي لتوصيله للناس,0,,nile,واحدة من أجمل الأشياء التي رأيتها في حياتي هي أكبر نجوم هوليوود ، وهم مسرح.
2744,خطاب مرسي بميدان التحرير كان موفقا وقسمه الرمزي ضروريا وتأكيده على أن الشعب مصدر السلطات وعلى الدولة المدنية الديمقراطية وحقوق المواطنة جيدا,0,,msa,كان خطاب مرسي في ميدان التحرير ناجحًا وانقسامه الرمزي ضروري وتأكيده على أن الناس هم مصدر القوى والدولة المدنية الديمقراطية وحقوق المواطنة بشكل جيد.
2745, بوب ديلان شكله فوتوجينيك جدا ابن اللذينة ,0,,nile,بوب ديلان فوتوغرافية للغاية ، ابن اللاتينا
2746,ألظلم يأتي من أشخاص و جماعة و ليس من البلد و بالتالى بحب بلدى بحب بلدى,0,,msa,المجال يأتي من الناس والمجموعة ، وليس من البلاد ، وبالتالي أحب بلدي مع بلدي
2747,  خبر  بنغازي غارة جوية بطائرة أجنبية بدون طيار على العمارات الصينية في المحور الغربي منذ قليل . ,0,,msa,Benghazi News هي ضربة جوية مع طائرة بدون طيار أجنبية على المباني الصينية في المحور الغربي منذ فترة قصيرة.
2748, بوب ديلان مغني شعبي امريكي اخذ نوبل للادب . ,0,,nile,بوب ديلان هو مغني شعبي أمريكي أخذ نوبل إلى الأدب.
2749,باقي على  رمضان 69 يوما تقريباً وتبدا القصه الجميله وتعلو المساجد بأصوات التراويح اللهم بلغنا رمضان لا فاقدين ولا مفقودين ♡,0,,msa,ما تبقى من رمضان حوالي 69 يومًا ، وتبدأ القصة الجميلة
2750,بعد قراءة مادة 219 الصوفيين يعملوا إيه كده؟ ليه نقفلها ع  السنة والجماعة ؟ ولا دي تمهيد للحرب مع الشيعة؟ دستور مريب ليس للمصريين,0,,nile,بعد قراءة المادة 219 ، الصوفيون يفعلون هذا؟ لماذا نغلقه في العام والمجتمع؟ وهذا ليس مقدمة للحرب مع الشيعة؟ دستور مشبوه ليس مخصصًا للمصريين
2751, نفسي في هيدر و كافر فيه ( الاهلي - مانشستر يونايتد - ريال مدريد - اسي ميلان )وهكون شاكر للي هيعملة بجد ❤ ,0,,nile,نفسي في المختلط والكفرة فيه (العلي - مانشستر يونايتد - ريال مدريد - آسي ميلان) وسأكون ممتنًا لي.
2752,نبيل العربي فخر لمصر في علمه و أخلاقه ووطنيته ونقائه ولم يفكر أو يسعي يوماً للترشح للرئاسة لا تزجوا بإسم الرجل في هذا المناخ السياسي الملوث,0,,msa,نبيل آرابي فخر لمصر في معرفته ، والأخلاق ، والوطنية والطهارة ، ولم يفكر أو يسعى ليوم واحد للترشح للرئاسة.لا تكون باسم الرجل في هذا المناخ السياسي الملوث.
2753,أمي ولك في هذا اليوم دعوه ؛ حفظك الله من كل سوء ياجنتي حفظ الله أمي وأمهاتكم وجميع أمهات المسلمين  عيد الأم …,0,,msa,والدتي وأنا في هذا اليوم تدعوه ؛ الله يحميك من كل الأشياء السيئة ، واي الله يحمي والدتي وأمهاتك وجميع أمهات المسلمين ، عيد الأم ...
2754,العنف والقتل في محيط مقر جماعة الإخوان مدان ومرفوض بالكامل كما في اشتباكات أسيوط وبني سويف، كل الدم المصري حرام، لا تفسدوا ٣٠ يونيو,0,,msa,يتم رفض العنف والقتل بالقرب من مقر الإخوان بشكل كامل ، كما في اشتباكات Assiut و Beni Suef ، كل الدم المصري ممنوع ، لا تفسد 30 يونيو
2755,شيخ المسجد مشغل المكروفون وبيقول بلطجية برا عابزين يموتونا ، وانا واقف برا وشايف بعيني الناس بتحاول تطلعهم وهم رافضين …,0,,nile,شيخ المسجد هو مشغل الاستغاثة ، ويقول من قبل البلطجية بالأراضي ، ويموتون ، وأنا أقف على الأرض وأرى عيون الناس يحاولون النظر إليهم بينما يرفضون ...
2756,طلاب الجامعات قالوها اليوم عاليا لا دراسة ولا تدريس الا بعودة الرئيس صدامات واعتقالات وغدا ايقاف الدراسة او فوضي بالجامعات,0,,msa,قال طلاب الجامعة اليوم عالياً ، لا توجد دراسة ، أو تدريس إلا مع عودة الرئيس ، والاشتباكات ، والاعتقالات ، وغدا للتوقف عن الدراسة أو الفوضى في الجامعات
2757,هذه هى المناظره تماما كما أتصورها بين  حمدين و  المشير  السيسى !  الكبير كبير متعملش مناظرات يا مشير  سأنتخب السيسي …,0,,nile,هذا هو المشهد تمامًا كما أتخيله بين حمدين وميدان مارشال سيسي! الكبير الكبير ، وليس المناقشات ، Mushir ، سأختار Sisi ...
2758,ألف صورة لألف شهيد من شهداء مجازر الانقلاب الدموي في  رابعة و  النهضة و  رمسيس و  الدقي …,0,,msa,ألف صورة لآلاف الشهداء من مذبحة الانقلاب الدموي في رابا ، آلهادا ، رامسيس ودوككي ...
2759,إلى المتخاذلون و المتحولون :يقول مارتن لوثر عندما ينتهي كل شيء لن تذكر شيئا من كلمات أعدائك لكن صمت أصدقائك سيترك أثرا لن يزول,0,,msa,إلى الإخفاقات والتحويلات: يقول مارتن لوثر عندما ينتهي كل شيء ، لن تتذكر أي شيء من أعدائك ، لكن صمت أصدقائك سيترك أثرًا لن يختفي.
2760,انتهى زمن  الرئيس الذي يمنح وجاء زمن الشعب الذي يجد ويعتز بكرامته؛ وما اعتمدته لكم هو بعض حقكم؛ فأنتم الذين تمنحون ولست …,0,,msa,إن وقت الرئيس الممنوح ووقت الأشخاص الذين يجدون ويعتزون بكرامته قد انتهى ؛ ما تبنته من أجلك هو بعض من حقك ؛ أنت أولئك الذين يمنحون وليس ...
2761,نحب اللغة العربية لأنها لغة القرآن ولأن نبيّنا عربي ولأنها لغة أهل الجنة  اليوم العالمي للغة العربية  غرد بصورة,0,,msa,نحن نحب اللغة العربية لأنها لغة القرآن ، لأن نبينا عربي ، ولأنها لغة شعب الجنة ، اليوم الدولي للغة العربية.
2762,تطبيق الشريعة,0,,msa,تطبيق الشريعة
2763, تصادف رحيل د.صادق العظم مع ترحيل أهالي حلب الشرقية، وما عرفنا نقول له مع السلامة وين رايح، مع السلامة يا مسك فايح. ,0,,levant,يتزامن رحيل الدكتور صادق العازم مع ترحيل الشعب الشرقي من حلب ، ولم نكن نعرف أننا نقول له بأمان ، إلى أين أنت ذاهب ، بسلامة ، سوء.
2764,تسلم لي عيونك يا آحلى  شيرين ♡   روحي شيرين محمد العراقي الجريح,0,,nile,تسلم عينيك ، أحلى شرين ♡ شرين محمد العرجية ، الجرحى
2765, فلسطين  محرقة  الاحتلال الصهيوني بحسب الجارديان محمود عباس:  الهولوكوست أبشع جريمة في العصر الحديث مع من يود,0,,msa,فلسطين هي الهولوكوست للاحتلال الصهيوني ، وفقًا لصحيفة الوصي محمود عباس: الهولوكوست هي أكثر الجريمة البشعة في العصر الحديث مع من يرغب
2766,الروايات متضاربة ومتناقضة حول احداث طريق النصر الحل تحقيق عادل مستقل شفاف لاستجلاء الحقيقة ولا يجب ان يفلت من أجرم من العقاب مهما كان موقعه,0,,msa,الروايات متضاربة ومتناقضة حول أحداث مسار النصر.الحل هو تحقيق عادل ومستقل وشفاف ، لتوضيح الحقيقة ، ويجب ألا يفلت من عقوبة العقوبة ، مهما كان موقعها
2767, الى كل مشجعي المايسترو روجير فيدرر في شتى بقاع الأرض الي ما صوته إلى الآن رجاءً يصوت له على الرابط في التغريدة السابقة و شكراً ❤️ ,0,,msa,إلى جميع مشجعي Maestro Roger Federer في أجزاء مختلفة من الأرض إلى ما صوتت عليه حتى الآن ، يرجى التصويت لصالحه على الرابط في التغريدة السابقة وشكرا ❤ ❤
2768,هذا الإعلان لصالح مجموعة وسيعرض بالفواصل في رمضان ان شاء الله صوره من الإعلان    رمضان,0,,msa,هذا الإعلان مؤيد لمجموعة وسيتم عرضه في فترات رامضان ، ويرجز الله ، ونسخة من إعلان رمضان
2769, نفسي اوى اشوف مسلسل  يوميات ونيس :),0,,nile,أنا كثيرا ، أرى المذكرات وسلسلة لطيفة :)
2770,هل الرئيس مرسي شرعي ومنتخب هل الشعب قادر على اختيار ما يفيده هل هدف الثورة ان نتخلص من حكم العسكر اذا الاجابة بالنفى فلماذا قمنا بثورة,0,,msa,هل الرئيس مرسي شرعي وفريق؟هل يمكن للأشخاص اختيار ما يفيده؟هل الهدف من الثورة هو التخلص من حكم الجيش إذا كانت الإجابة على النفي ، فلماذا فعلنا ثورة؟
2771,اليوم السابع | نائب رئيس  جامعة المنصورة: الدواعى الأمنية سبب تقديم موعد  الامتحانات,0,,msa,نائب رئيس جامعة مانسورا اليوم السابع: الأسباب الأمنية هي سبب تاريخ الامتحانات
2772, عن انك تصاحب باباك ومامتك وتحكيلهم عن كل حاجة من غير ما تخاف منهم لانك واثق انهم هيساعدوك,0,,nile,عنك ترافق بابك وأمك وإزالتها من كل حاجة بدون ما تخاف منه لأنك واثق من أنها ستساعدك
2773,ذكرى وأحلى ذكرى أول واقفة فى  التالتة شمال  07  الأهلي,0,,nile,الذاكرة وأفضل ذكرى للوقوف الأول في الشمال التالي من 07 al -ahly
2774,  لافروف|| بعد تحرير جزء كبير من شرق  حلب لم يعد هناك ما يعيق ارسال المساعدات عبر الكاستيلو بإشراف الجيش السوري ,0,,msa,Lavrov || بعد تحرير جزء كبير من شرق حلب ، لم يعد هناك أي شيء يعيق إرسال المساعدات عبر كاستيلو تحت إشراف الجيش السوري
2775,ﻭﺯﻳﺮ ﺍﻟﺨﺎﺭﺟﻴﺔ ﺍﻟﺒﺮﻳﻄﺎﻧﻲ ﻓﻲﻣﻘﺎﺑﻠﺔ ﻣﻊ ﺻﺤﻴﻔﺔ ﺫﻱ ﺻﻦ ﺍﻟﺒﺮﻳﻄﺎﻧﻴﺔﻳﻘﻮﻝﺇﻥ ﻗﺮﺍﺭ ﺍﻟﻐﺮﺏ ﻋﺪﻡ ﺍﻟﺘﺪﺧﻞ ﺿﺪ ﺍﻟﺮﺋﻴﺲ ﺍﻟﺴﻮﺭﻱ ﺑﺸﺎﺭ ﺍﻷﺳﺪﻋﺎﻡ 2013 ﻛﺎﻥﺧﻄﺄ ﺣﻘﻴﻘﻴﺎً,0,,msa,يقابل وزير الفارسي المئوي مع صحيفة Perglame Sanked ، وتقول إن القرار الغربي هو العدد
2776,في فن من أرقي الفنون في العالم تعلمناه من حبيبنا المصطفي إنه فن تجميع القلوب تعالوا نتعرف علي الفن ده و,0,,nile,في فن أفضل الفنون في العالم ، تعلمنا من مصطفى الحبيب.إنه فن جمع القلوب.دعنا نتعرف على هذا الفن
2777, حملة هيلاري كلنتون تؤكد وجود سماسرة اردنيين يشترون اصوات لترامب وخصوصا باوهايو 😂 ,0,,msa,تؤكد حملة هيلاري كلينتون وجود وسطاء الأردن الذين يشترون الأصوات لترامب ، وخاصة بوهايو 😂
2778,جامعة هلسنكي(فينلندا)تختار  السادة المحترمون (بفريق عمله كاملا)البرنامج الأكثرمصداقية وحرفية في  مصر وتم إدراج بحث عنه في دوريتها  فلسطين,0,,msa,جامعة هلسنكي (فنلندا) يختار السادة المحترمون (فريق عمله الكامل) البرنامج الأكثر موثوقية وحرفية في مصر وتم إدراجه في دورية فلسطين
2779,سيناء علي الخريطة اكبر علامة نصر في التاريخ  تحرير سيناء,0,,msa,سيناء على الخريطة ، أكبر علامة انتصار في التاريخ ، تحرير سيناء
2780,اليوم السابع | كلاب بوليسية لتأمين  امتحانات  عين شمس و  الجامعة: منع دخول المفصولين,0,,msa,الكلاب اليومية السابعة لتأمين Ain Shams والامتحانات الجامعية: منع الدخول المرسوم
2781,الفهم المصري المتحضر للإسلام أسس له الامام محمد عبده عام 1899فانطلقت مصر العظيمة لتبدع في كل مجال حتى وصل إلينا الفكر الوهابي الرجعي المتطرف,0,,msa,تم إنشاء الفهم المصري المتحضر للإسلام من قبل الإمام محمد عبدو في عام 1899 ، لذلك انطلقت مصر العظيمة في كل حقل حتى وصلنا إلينا مع الفكر الوهابي المتطرف.
2782,ليت الليالي تجيب الي على بالي واشوف زوله بعد ما طول الغيبه ان كان ماعاد له جيه بري حالي يمكن على عز هذا العمر اهذريبه  عادل,0,,msa,إذا كانت الليالي فقط سترد عليّ في ذهني وترى زوله بعد الغياب لفترة طويلة إذا لم يكن من الممكن له أن يكون له سن حالي في هذا العصر.
2783,سحر النوم والراحة مع  مصطفى حسني ،، جميلة =) ,0,,msa,سحر النوم والراحة مع مصطفى هوسني ، جميل =)
2784, ماهي  علامات  محبة العبد لربه  المحبة  الحقيقية  الشيخ حمد العتيق -  السعودية  الكويت  الامارات  السلفية,0,,msa,ما هي علامات حب الخادم لحب ربه الحقيقي ، الشيخ حمد العقيق - المملكة العربية السعودية ، الكويت ، الإمارات السلفية
2785,ماذا لو المدارس مختلطه  زيت زيتون الجوفعصرة أولى على الباردللتواصل واتس اب 0532664958.,0,,msa,ماذا لو تم خلط المدارس مع زيت الزيتون ، أول تدور على Pardille ، WhatsApp 0532664958.
2786,صفعة لناشطة هي صفعة على وجوهنا جميعا، اعتداءات وحشية أمام مقر جماعة غير شرعية تخرج على القانون وتحكم لتفكيك الدولة، الإخوان في مواجهة مصر!,0,,msa,صفعة من الناشط هي صفعة في جميع وجوهنا ، وهجمات وحشية أمام مقر مجموعة غير قانونية تخرج من القانون وتتحكم في تفكيك الدولة ، الأخوة في مواجهة مصر!
2787,متعودتش اشوف ف الناس غير الجمال  حمزة نمرة,0,,nile,أريد أن أرى أشخاصًا بخلاف الجمال حمزة نامرا
2788, جماليات الأدب العثماني.... معرض الكويت الدولي للكتاب  معرض الكتاب ,0,,msa,جماليات الأدب العثماني .... معرض الكتب الدولية للكويت الدولية
2789,يوم اللغه العربيه الجامعة السعودية الالكترونيةعندك واجبات ماث!!!!عندك واجب ومشغول وموقادرتحقق 100%...نحنا انحلها 0507797125,0,,gulf,يوم اللغة العربية ، الجامعة السعودية ، الإلكترونية ، لديك واجبات ، مات !!!!
2790,ي جماعه اللي عندو خبره ف الكمبيوتر.. انا عندي ويندوز 10.. حاطط باسورد كتابه من زمان اوي..  وكنت بستخدم اللي هوا باسورد الصوره ده..,0,,nile,J Group الذين لديهم خبرة في الكمبيوتر .. لدي Windows 10 ..
2791,يامن تتحدث باسم الاسلام ثم تلقى على من يخالفك في الراى بصندوق قمامة من البذاءات كثيرون ممن تشتمهم اكثر اسلاما منك لانهم مهذبون,0,,msa,يتحدث يامين باسم الإسلام ثم يستقبل أولئك الذين يختلفون معك في رأي صندوق القمامة للعديد من أولئك الذين يهينونهم الإسلام أكثر منك لأنهم مهذبون.
2792, ذات مومنت لما موبايلك يغطس في البطنيه وتقعد ادور فيه ما تلقشي واخر حاجه تنفض البطنيه يقعد الموبايل ايتخبط فيالوطى :/ اصلا عادي,0,,nile,يا مومانت ، عندما يتم غمر هاتفك المحمول في البطين ، وأجلس فيه ، وما تشتت ، والشيء الأخير هو هز البطين ، الجوال ، سأشعر بالارتباك في البلد:/ طبيعي في الأصل
2793,أرى أن النظام المختلط بين النظام البرلماني والنظام الرئاسي هو الانسب لنا هذه الفترة التى تتوزع فيه السلطة,0,,msa,أرى أن النظام المختلط بين النظام البرلماني والنظام الرئاسي هو الأنسب بالنسبة لنا في هذه الفترة التي يتم فيها توزيع السلطة
2794,السياسة  الشرعية التي يعمل بها  السلفيون في بلاد  الحرمين مزورة ومكذوبة على  الاسلام وان صفق لها كبار  العلماء واتحدى في ذلك  ,0,,msa,السياسة القانونية التي يعمل فيها السلفيين في بلد المساجد المقدسة مزورة وخطأ للإسلام ، وإذا صفق العلماء الكبار ، وأنا أتحدى ذلك في ذلك
2795, هالاجازة مثل الطفل اللي راح مع أمه للجيران وكان مستحي يلعب مع عيالهم ويوم بدأ يمون عليهم ويلعب معهم قالت أمه مشينا🙄 ماذا لو المدارس مختلطه ,0,,gulf,هالاز يشبه الطفل الذي ذهب مع والدته إلى الجيران وكان من المستحيل اللعب مع أطفالهم وفي اليوم الذي بدأ ينتهي فيه ولعب معهم.
2796,نسأل الله أن يحفظ شيخنا من كل مكروه ويمن عليه الصحة والعافية  سلامتك يا خليفة  ,0,,gulf,نطلب من الله حماية الشيخ لدينا من كل الأذى ومنحه الصحة والعافية ، وسلامتك ، وخلفك
2797, أنا بقعد أسأل جوجل أسئلة في منتهي الغباء وساعات بكتبله موضوع تعبير وبردو بلاقي إجابة وبلاقي ناس سألت نفس الأسئلة فبحمد ربنا والله  جوجل الحب ,0,,nile,أطرح أسئلة Google في نهاية الغباء والساعات عن طريق كتابة موضوع التعبير وفي بقية إجابة وبقية الناس.سألت نفس الأسئلة ، لذا امتدح ربنا ، والله جوجل الحب
2798,(إن الأبرار لفي نعيم) [المطففين:22]  ريال مدريد,0,,msa,(الصالح هو نايم) [al -mutaffifin: 22] ريال مدريد
2799,شكراً جزيلاً على تعليقاتكم الجميلة ويا رب يعجبكم الفيلم إنتم كمان,0,,nile,شكرًا جزيلاً على تعليقاتك الجميلة ، وربك ، أنت تحب الفيلم ، أنت أيضًا
2800,  الناتو  في بروكسل.. تحديات امنية والعلاقة مع ادارة ترامب وروسيا ازمة ســوريا وتقوية فاعلية التحالف ضد  داعش  ابرز نقاط البحث ,0,,msa,الناتو في بروكسل .. التحديات الأمنية والعلاقة مع إدارة ترامب وروسيا هي أزمة سورية وتعزيز فعالية الائتلاف ضد داعش ، أبرز نقاط البحث
2801,ورضيت أعيشلك انت يا حبيبي كفايه ان انت حبيبي  عمرو دياب,0,,nile,وكنت راضيا عنك يا حبيبتي ، بما يكفي أنك حبي ، عمر دياب
2802, متى النهاية ياحرب  سوريا  فلسطين  العراق  بورما ,0,,msa,متى تكون النهاية ، سوريا ، فلسطين ، العراق ، العراق ، بورما
2803,تحية لرئيس جمهورية فنزويلا الذي انحاز بقرار إعادة سفير بلاده للقاهرة لثورة مصر وارادة شعبها وأكد على متانة وعمق العلاقات بين الشعبين,0,,msa,تحية لرئيس جمهورية فنزويلا ، التي وقفت إلى قرار إعادة سفير بلاده إلى القاهرة إلى ثورة مصر وإرادة شعبها وأكد على قوة وعمق العلاقات بين الشعبين
2804, زوجان مقدسيان يدشنان مبادرة   صح أو خطأ  لتصحيح المعلومات عن  المسجد الأقصى المبارك القدس فلسطين ,0,,msa,زوجين ماكاديسيان يطلقان مبادرة صحيحة أو خاطئة لتصحيح المعلومات حول مسجد الحقا المبارك ، القدس ، فلسطين
2805,أينما وجد العدل فثم شرع الله,0,,msa,أينما تم العثور على العدالة ، ثم وصف الله
2806,رجل أكرمه الله بمصاهرة أكرم خلقه مرتين زهد في أمواله وتجارته طمعاً في مرضاة الله كانت الملائكة تستحي منه  عثمان بن عفان رضي الله عنه,0,,msa,رجل كرم الله برفقه ، الذي يكون خلقه مرتين ، الزهد في أمواله والتجارة على أمل متعة الله.
2807, 🌸↶مـآذآ إعـْطَتک  فلسطين  لِتحبهآ إلى هذآ آلحد 🙊 ؟💚 💚-بكفي آنهآ آعطتني آلشرف ليكون آسمي  فلسطيني❤✋👑👑يمآ محلااهااآ هَآلنعمهه'ھ 😍🌸↶ ,0,,msa,🌸↶ عندما أعطاك فلسطين أن تحبها لهذا الشخص 🙊 💚-bikka ، لذلك أعطتني الشرف لأكون اسمي ، فلسطيني ❤✋👑👑
2808, كارلو أنشيلوتي : عندما غادرت ريال مدريد قام كريستيانو بدعمي على العلن ولكن أكبر دعم قدمه لي على الإطلاق هي أهدافه وكونه مِثال جيد للفريق. ,0,,msa,كارلو أنشيلوتي: عندما غادرت ريال مدريد ، دعمني كريستيانو في الأماكن العامة ، لكن أكبر دعم قدمه لي هو أهدافه ومثال جيد للفريق.
2809, الكرامة بدأت في  بنغازي باغتيال المشائخ وتبدأ الآن في  طرابلس باغتيال المشائخ ,0,,msa,بدأ الكاراما في بنغازي باغتيال الشيخ والآن يبدأ في طرابلس لاغتيال الشيخ
2810,كيري: ندرك أن الوصول لحل مستقر ودائم يتطلب تنازلات ونشجع كل الاطراف للسعي لحل وسط يركز على صالح بلدهم ومستقبل أفضل لشعب  اليمن. 4/4,0,,msa,كيري: ندرك أن الوصول إلى حل مستقر ودائم يتطلب تنازلات ونشجع جميع الأطراف على البحث عن حل وسط يركز على فائدة بلدهم ومستقبل أفضل لأشخاص اليمن. 4/4
2811, حقك كبير 😳😳قم عدل المنكر .. ولدك في خطر !! كريم  اوبر انتبهوا لعيالكم و شوفوا جوالاتهم لا يستغلونهم حقين النقل الخاص ! ,0,,gulf,حقك رائع 😳😳 😳😳 😳😳 😳😳 😳😳 😳😳 😳😳 😳😳 😳😳 😳😳 😳😳 😳😳karim uber الانتباه لعائلاتك ورؤية هواتفهم المحمولة.
2812,ارفض البذاءات التى يبثها الشيخ محمود شعبان ضد الثورة لكنى ارفض ما حدث له في ميدان التحرير من إهانات واستهزاء بكرامته الثورة نموذج أخلاقي,0,,msa,أرفض الأطعمة التي تبثها الشيخ محمود شابان ضد الثورة ، لكنني أرفض الإهانات التي حدثت له في ميدان التحرير وسخرت من كرامته بالثورة نموذجًا أخلاقيًا
2813,احمد شفيق هو الوحيد القادر علي تحريك الركود السياسي في البلاد و مواجهة  السيسي في 2018 ..ده واقع سواء بتكرهه او بتحبه,0,,nile,أحمد شافق هو الشخص الوحيد القادر على تحريك الركود السياسي في البلاد ويواجه سيسي في عام 2018 .. هذه حقيقة ، سواء عن طريق كرهها أو أحبها
2814,الأمم المتحدة: نحاول الوصول إلى 6 ملايين سوري بحاجة إلى مساعدات عاجلة وسنبدأ غداً بتوصيل المساعدات جواً في سوريا.. وجهتهم الفوعة وكفريا,0,,msa,الأمم المتحدة: نحاول الوصول إلى 6 ملايين سوريين في حاجة إلى مساعدة عاجلة وسنبدأ غدًا من خلال تقديم مساعدة في سوريا ... وجهتهم هي الفوا وكفريا
2815,دراكولا لو كان عايش معانا لغاية دلوقت كان زمانه بيمص قصب عشان محدش بقى عندك دم اليومين دول,0,,nile,دراكولا ، إذا عاش معنا حتى وقت ما ، فإن وقته سيكون مص قصب ، لذلك لا أحد لديه دم في اليومين.
2816,تحسه انسان عايش لوحده.. مش حاسس ب اللى حواليه,0,,nile,تشعر بشخص يعيش بمفرده .. لا أشعر بما يدور حوله
2817,الف مبروك الانتصار لفريقنا الزمالك، مدرب الفريق المنافس ىدلي بتصريحات سلبيه,0,,nile,تهانينا للفوز لفريقنا ، زاماليك ، مدرب الفريق المنافس ، دالي ، ببيانات سلبية
2818,الف مبروك الانتصار لفريق نادي الزمالك، مدرب الفريق الثاني المهزوم يعلق علي التحكيم,0,,nile,تهانينا للفوز بفريق Zamalek Club ، مدرب تعليق الفريق الثاني المهزوم على التحكيم
2819,كل غربال وليه شده وكل الافعال لها حماس,0,,nile,كل غربال لديه شدة وجميع الإجراءات لها حماس
2820,شوفى مقموصه ازاى فاكره نفسها حاجه قال,0,,nile,قال إن شوفي كيف يمكنني أن أفكر في نفسها.
2821,الاهلى  ملك الكوره فى مصر  ولا يوجد نادى افضل منه,0,,nile,آل ، ملك الكرة في مصر ، وليس هناك نادي أفضل منه
2822,سخرية المصريين من الصاروخ الصيني يا رب يقع في سد إثيوبيا,0,,nile,يقع السخرية المصريين للصاروخ الصيني ، يا رب ، في سد إثيوبيا
2823,انت متعرفش مصلحتك فين ولازم تبقى فاهم كويس,0,,nile,أنت لا تعرف اهتمامك ، أين يجب أن تفهم الخير؟
2824,تاكى وجع فى بطنه وركبك يا واطيه يا زباله,0,,nile,بارد ألم في بطنه ورحلتك ، يا ديكي
2825,بحبها وفى قلبى ساكن حبها ياريت يا شوق توصلها,0,,nile,أنا أحبها وفي قلبي ، تعيش في حبها
2826,البنت لما يحكولها ليه حطه مكياج كتير تقول ده جمالي طبيعي,0,,gulf,الفتاة عندما يخبرها لماذا تضع الكثير من المكياج ، فأنت تقول أن هذا جمال طبيعي
2827,خساره الاهلي للدوري يعتبر غباء وخذلان ثقه الجماهير,0,,nile,تعتبر خسارة الدوري في الدوري غباء ومميتة للجماهير
2828,الهدية بالنسبة لمراتك زي الصدقة تمنع عنك الاذي,0,,nile,هدية لأوقاتك مثل الصدقة تمنعك من الأذى
2829,الراجل دائما متبع للشهوات والنساء,0,,nile,يتبع الرجل دائمًا الرغبات والنساء
2830,خساره الاهلي كانت مهزله بين الدول والناس,0,,nile,كانت خسارة العلي مهزلة بين البلدان والناس
2831,الام هي العطاء والتضحية ولكن من يهتم غير الابناء,0,,nile,الأم تعطي وتضحية ، لكن من يهتم ليس أطفالًا
2832,خناقة أحمد مجاهد وشيكابالا إستمرت حوالي ٥ دقايق كاملة ..شيكابالا في الخمس دقايق مقالش لمجاهد غير أنت أهلاوي🤔,0,,nile,استمرت شجار أحمد المجاهد وشيكابالا حوالي 5 دقائق كاملة ... تشيكابالا في الدقائق الخمس من المجاهدين بخلاف عائلتي
2833,ايمن اشرف هيمسك لوكاكو اللى فان دايك مش عارف يمسكه,0,,nile,أيان أشرف سيحمل لوكاكو ، الذي لا يعرف
2834,ليت كلْ الزوايا التي جمعتنا بهم تعيدهم إليها في اللحظات التي نتمنى وجودهم فيهآ ..!,0,,msa,إذا كانت جميع الزوايا التي جمعناها معهم فقط ستعيدهم في اللحظات التي نأمل أن تكون حاضرًا فيها ..!
2835,ده محسسني انه ارشميدس يا عم هو مفكر نفسه مين الاهبل دا,0,,nile,هذه هي حواسي بأنه arshmids ، عمه ، هو المفكر في نفس الشيء
2836,محمد سامي دا فاضله تكه ويطلعله قرون عشان سايب مراته بتتناك,0,,nile,محمد سامي دا فاضل ونظر إليه لقرون ، حتى يراه
2837,تحيا اليتيمة وماغد على فخووونسا,0,,magreb,يعيش اليتيم وماجد على فاكوسا
2838,كان جاشعر يزيد فالفهامة كان لاعبين جزايرين علامة هذو خصوصيات يا معشر.......,0,,magreb,كان غاشير يزيد ، لذا كان الفهم لاعبين الجزائريين ، وعلامة هذه الخصوصية ، Muasher .......
2839,طيب اوي اللي يفتكر ان حد هيحبه اكتر من نفسه,0,,nile,حسنًا ، من يعتقد أن شخصًا ما سيحبه أكثر من نفسه
2840,لا ينبغي أن يفوز الزمالك بالدورى بعد ذلك حتي لا نرى هذا الكم من السطحية والسذاجة والغباء,0,,nile,يجب ألا يفوز Zamalek بالدوري بعد ذلك حتى لا نرى هذا القدر من السطحية والسذاجة والغباء
2841,سؤال هل كرونا بتزيد وقت دخول المدارس ولماذا لم تزيد وقت مهرجانات في ساحل الشمالي والمصايف,0,,nile,سؤال ، هل تزيد كورونا من وقت دخول المدارس ولماذا لم تزيد من وقت المهرجانات في الساحل والمنتجعات الشمالية
